ACSSF,CO,050,00,0000033,,,,,08,039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US08039,"Elbert County, Colorado",,,
ACSSF,CO,050,00,0000034,,,,,08,041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US08041,"El Paso County, Colorado",,,
ACSSF,CO,050,00,0000035,,,,,08,043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US08043,"Fremont County, Colorado",,,
ACSSF,CO,050,00,0000036,,,,,08,045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US08045,"Garfield County, Colorado",,,
ACSSF,CO,050,00,0000037,,,,,08,047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US08047,"Gilpin County, Colorado",,,
ACSSF,CO,050,00,0000038,,,,,08,049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US08049,"Grand County, Colorado",,,
ACSSF,CO,050,00,0000039,,,,,08,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US08051,"Gunnison County, Colorado",,,
ACSSF,CO,050,00,0000040,,,,,08,053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US08053,"Hinsdale County, Colorado",,,
ACSSF,CO,050,00,0000041,,,,,08,055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US08055,"Huerfano County, Colorado",,,
ACSSF,CO,050,00,0000042,,,,,08,057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US08057,"Jackson County, Colorado",,,
ACSSF,CO,050,00,0000043,,,,,08,059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US08059,"Jefferson County, Colorado",,,
ACSSF,CO,050,00,0000044,,,,,08,061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US08061,"Kiowa County, Colorado",,,
ACSSF,CO,050,00,0000045,,,,,08,063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US08063,"Kit Carson County, Colorado",,,
ACSSF,CO,050,00,0000046,,,,,08,065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US08065,"Lake County, Colorado",,,
ACSSF,CO,050,00,0000047,,,,,08,067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US08067,"La Plata County, Colorado",,,
ACSSF,CO,050,00,0000048,,,,,08,069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US08069,"Larimer County, Colorado",,,
